,year,ablation
0,1996-01-01,-51.14
1,1997-01-01,-49.75
2,1998-01-01,-48.379999999999995
3,1999-01-01,-46.87
4,2000-01-01,-40.400000000000006
5,2001-01-01,-32.52
6,2002-01-01,-40.94
7,2003-01-01,-36.76
8,2004-01-01,-35.92
9,2005-01-01,-27.259999999999998
10,2006-01-01,-58.709999999999994
11,2007-01-01,-20.11
12,2008-01-01,-55.970000000000006
13,2009-01-01,-26.54
14,2010-01-01,-42.120000000000005
15,2011-01-01,-29.48
16,2012-01-01,-7.08
17,2013-01-01,-36.379999999999995
18,2014-01-01,-43.12
19,2015-01-01,-23.14
20,2016-01-01,-60.23
21,2017-01-01,-64.19
22,2018-01-01,-55.800000000000004
23,2019-01-01,-28.05
