,year,accumulation
0,1996-01-01,6.48
1,1997-01-01,11.37
2,1998-01-01,3.46
3,1999-01-01,10.71
4,2000-01-01,8.079999999999998
5,2001-01-01,7.27
6,2002-01-01,5.039999999999999
7,2003-01-01,3.07
8,2004-01-01,4.4
9,2005-01-01,1.5
10,2006-01-01,6.220000000000001
11,2007-01-01,4.74
12,2008-01-01,5.26
13,2009-01-01,3.37
14,2010-01-01,4.86
15,2011-01-01,2.73
16,2012-01-01,0.36
17,2013-01-01,6.5
18,2014-01-01,7.4799999999999995
19,2015-01-01,-0.44000000000000006
20,2016-01-01,12.72
21,2017-01-01,1.4699999999999998
22,2018-01-01,7.619999999999999
23,2019-01-01,2.65
