,year,ablation,accumulation
0,1996-01-01,-51.14,6.48
1,1997-01-01,-49.75,11.37
2,1998-01-01,-48.379999999999995,3.46
3,1999-01-01,-46.87,10.71
4,2000-01-01,-40.400000000000006,8.079999999999998
5,2001-01-01,-32.52,7.27
6,2002-01-01,-40.94,5.039999999999999
7,2003-01-01,-36.76,3.07
8,2004-01-01,-35.92,4.4
9,2005-01-01,-27.259999999999998,1.5
10,2006-01-01,-58.709999999999994,6.220000000000001
11,2007-01-01,-20.11,4.74
12,2008-01-01,-55.970000000000006,5.26
13,2009-01-01,-26.54,3.37
14,2010-01-01,-42.120000000000005,4.86
15,2011-01-01,-29.48,2.73
16,2012-01-01,-7.08,0.36
17,2013-01-01,-36.379999999999995,6.5
18,2014-01-01,-43.12,7.4799999999999995
19,2015-01-01,-23.14,-0.44000000000000006
20,2016-01-01,-60.23,12.72
21,2017-01-01,-64.19,1.4699999999999998
22,2018-01-01,-55.800000000000004,7.619999999999999
23,2019-01-01,-28.05,2.65
